Solution 1,Solution 2,Cluster 1,Cluster 2,adjusted_rand Similarity
5,20,2,1,0.5875559131491669
5,21,3,3,1.0
5,21,1,2,1.0
5,21,0,1,1.0
5,21,2,0,0.6167016945192575
5,22,3,3,1.0
5,22,0,2,1.0
5,22,2,0,0.6267750238597912
5,22,1,1,0.4403669724770642
5,23,3,3,1.0
5,23,1,0,1.0
5,23,2,1,0.9058427017902461
5,23,0,2,0.2313318127727094
5,24,3,1,1.0
5,24,1,3,1.0
5,24,2,0,0.8551836242303731
5,24,0,2,0.4121199817286706
5,25,3,2,1.0
5,25,0,1,1.0
5,25,1,0,0.3586026443244815
6,7,3,3,1.0
6,7,2,0,1.0
6,7,0,1,1.0
6,7,1,2,0.2272137107244871
6,8,0,3,1.0
6,8,1,1,0.9456559046289729
6,8,2,0,0.9350162459385154
6,8,3,2,0.4590611605060371
6,9,3,3,1.0
6,9,1,2,1.0
6,9,2,0,0.8051474213588403
6,9,0,1,0.714828897338403
6,10,3,3,1.0
6,10,2,2,1.0
6,10,1,0,0.8653731766038805
6,10,0,1,0.7841269841269841
6,11,1,1,1.0
6,11,0,3,1.0
6,11,3,0,0.7371973714678819
6,11,2,2,0.40885264997087944
6,12,3,2,1.0
6,12,0,1,1.0
6,12,2,0,0.7971682497644452
6,12,1,3,0.7218453188602443
6,13,3,1,1.0
6,13,0,0,1.0
6,13,1,3,0.8468809073724007
6,13,2,2,0.6791675588592171
6,14,3,2,1.0
6,14,2,3,1.0
6,14,0,0,1.0
6,14,1,1,0.00020218358269303937
6,15,3,3,1.0
6,15,2,2,1.0
6,15,0,0,0.8880100665108754
6,15,1,1,0.3030959082052393
6,16,3,0,1.0
6,16,0,2,1.0
6,16,1,1,0.95294587625746
6,16,2,3,0.7227241139680334
6,17,3,0,1.0
6,17,0,2,1.0
6,17,1,1,1.0
6,17,2,3,0.5505788796631973
6,18,3,0,1.0
6,18,0,3,1.0
6,18,1,1,0.9438185433011951
6,18,2,2,0.8738196520525213
6,19,3,0,1.0
6,19,0,1,1.0
6,19,2,2,0.7971682497644452
6,19,1,3,0.7012687427912342
6,20,3,0,1.0
6,20,2,3,1.0
6,20,0,2,1.0
6,20,1,1,0.012760404079462452
6,21,3,1,1.0
6,21,0,2,1.0
6,21,1,3,0.8096655160099988
6,21,2,0,0.7383279692133711
6,22,3,0,1.0
6,22,2,3,1.0
6,22,0,2,0.8823563054046325
6,22,1,1,0.16821277893559708
6,23,3,1,1.0
6,23,0,3,1.0
