Solution 1,Solution 2,Cluster 1,Cluster 2,Similarity,Metric
6,9,3,3,1.0,adjusted_rand
6,9,1,2,1.0,adjusted_rand
6,9,2,0,0.8051474213588403,adjusted_rand
6,9,0,1,0.714828897338403,adjusted_rand
6,10,3,3,1.0,adjusted_rand
6,10,2,2,1.0,adjusted_rand
6,10,1,0,0.8653731766038805,adjusted_rand
6,10,0,1,0.7841269841269841,adjusted_rand
6,11,1,1,1.0,adjusted_rand
6,11,0,3,1.0,adjusted_rand
6,11,3,0,0.7371973714678819,adjusted_rand
6,11,2,2,0.40885264997087944,adjusted_rand
6,12,3,2,1.0,adjusted_rand
6,12,0,1,1.0,adjusted_rand
6,12,2,0,0.7971682497644452,adjusted_rand
6,12,1,3,0.7218453188602443,adjusted_rand
6,13,3,1,1.0,adjusted_rand
6,13,0,0,1.0,adjusted_rand
6,13,1,3,0.8468809073724007,adjusted_rand
6,13,2,2,0.6791675588592171,adjusted_rand
6,14,3,2,1.0,adjusted_rand
6,14,2,3,1.0,adjusted_rand
6,14,0,0,1.0,adjusted_rand
6,14,1,1,0.00020218358269303937,adjusted_rand
6,15,3,3,1.0,adjusted_rand
6,15,2,2,1.0,adjusted_rand
6,15,0,0,0.8880100665108754,adjusted_rand
6,15,1,1,0.3030959082052393,adjusted_rand
6,16,3,0,1.0,adjusted_rand
6,16,0,2,1.0,adjusted_rand
6,16,1,1,0.95294587625746,adjusted_rand
6,16,2,3,0.7227241139680334,adjusted_rand
6,17,3,0,1.0,adjusted_rand
6,17,0,2,1.0,adjusted_rand
6,17,1,1,1.0,adjusted_rand
6,17,2,3,0.5505788796631973,adjusted_rand
6,18,3,0,1.0,adjusted_rand
6,18,0,3,1.0,adjusted_rand
6,18,1,1,0.9438185433011951,adjusted_rand
6,18,2,2,0.8738196520525213,adjusted_rand
6,19,3,0,1.0,adjusted_rand
6,19,0,1,1.0,adjusted_rand
6,19,2,2,0.7971682497644452,adjusted_rand
6,19,1,3,0.7012687427912342,adjusted_rand
6,20,3,0,1.0,adjusted_rand
6,20,2,3,1.0,adjusted_rand
6,20,0,2,1.0,adjusted_rand
6,20,1,1,0.012760404079462452,adjusted_rand
6,21,3,1,1.0,adjusted_rand
6,21,0,2,1.0,adjusted_rand
6,21,1,3,0.8096655160099988,adjusted_rand
6,21,2,0,0.7383279692133711,adjusted_rand
6,22,3,0,1.0,adjusted_rand
6,22,2,3,1.0,adjusted_rand
6,22,0,2,0.8823563054046325,adjusted_rand
6,22,1,1,0.16821277893559708,adjusted_rand
6,23,3,1,1.0,adjusted_rand
6,23,0,3,1.0,adjusted_rand
6,23,1,0,0.9033857596652979,adjusted_rand
6,23,2,2,0.6147218907355124,adjusted_rand
6,24,3,0,1.0,adjusted_rand
6,24,1,3,1.0,adjusted_rand
6,24,0,1,1.0,adjusted_rand
6,24,2,2,0.9279281604004851,adjusted_rand
6,25,3,2,1.0,adjusted_rand
6,25,1,1,1.0,adjusted_rand
6,25,2,0,0.6127086083869533,adjusted_rand
7,8,2,1,1.0,adjusted_rand
7,8,0,2,1.0,adjusted_rand
7,8,1,3,0.9228264538288958,adjusted_rand
7,8,3,0,0.3336259877085162,adjusted_rand
7,9,3,2,1.0,adjusted_rand
7,9,0,1,1.0,adjusted_rand
7,9,1,0,1.0,adjusted_rand
7,9,2,3,0.3307086614173228,adjusted_rand
7,10,0,3,1.0,adjusted_rand
7,10,1,2,0.9568486767353087,adjusted_rand
7,10,3,0,0.9519701670367419,adjusted_rand
7,10,2,1,0.3279648609077599,adjusted_rand
7,11,3,3,1.0,adjusted_rand
7,11,2,1,1.0,adjusted_rand
7,11,0,2,0.8571668486018977,adjusted_rand
7,11,1,0,0.7465658609306782,adjusted_rand
7,12,0,2,1.0,adjusted_rand
7,12,3,1,0.9447904527029592,adjusted_rand
